,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,computed_volatility
0,GOOG250321C00070000,2024-03-08 18:03:04+00:00,70.0,70.95,80.0,85.0,0.0,0.0,5,5,0.6387365228271484,True,REGULAR,USD,0.5338065313527568
1,GOOG250321C00080000,2024-03-18 19:19:36+00:00,80.0,73.25,71.0,75.5,0.0,0.0,2,3,0.5775188732910157,True,REGULAR,USD,0.48345530160723815
3,GOOG250321C00090000,2024-03-20 19:29:16+00:00,90.0,66.25,63.6,66.0,0.75,1.1450381,10,10,0.5461471166992189,True,REGULAR,USD,0.46929480063677304
5,GOOG250321C00100000,2024-03-19 19:55:40+00:00,100.0,55.0,53.1,57.65,0.0,0.0,2,5746,0.5441329766845704,True,REGULAR,USD,0.40661556160808593
7,GOOG250321C00110000,2024-03-18 15:07:11+00:00,110.0,50.0,45.75,47.7,0.0,0.0,2,36,0.45892875061035165,True,REGULAR,USD,0.37127978309178344
8,GOOG250321C00115000,2024-03-18 14:12:53+00:00,115.0,45.7,41.85,44.9,0.0,0.0,2,7,0.4689994506835938,True,REGULAR,USD,0.37795041330223456
10,GOOG250321C00125000,2024-03-21 14:59:18+00:00,125.0,35.5,34.7,35.95,-0.86999893,-2.3920786,2,13,0.40656111022949215,True,REGULAR,USD,0.34504809998388625
11,GOOG250321C00130000,2024-03-19 19:39:41+00:00,130.0,31.9,30.0,33.5,0.0,0.0,3,31,0.41431249755859373,True,REGULAR,USD,0.33540146246771296
12,GOOG250321C00135000,2024-03-21 14:50:50+00:00,135.0,29.0,27.6,29.4,1.0900002,3.9054108,2,34,0.38730471099853514,True,REGULAR,USD,0.3293113007221066
14,GOOG250321C00145000,2024-03-21 14:35:21+00:00,145.0,23.35,22.55,23.35,0.030000687,0.12864788,14,59,0.36655296539306637,True,REGULAR,USD,0.32461512192119013
15,GOOG250321C00150000,2024-03-21 14:33:20+00:00,150.0,22.1,20.0,20.35,0.95000076,4.4917293,6,167,0.35263708892822265,False,REGULAR,USD,0.31715187801873257
16,GOOG250321C00155000,2024-03-21 14:36:21+00:00,155.0,17.86,16.85,17.85,0.38000107,2.1739192,2,137,0.34445845977783207,False,REGULAR,USD,0.30574734076399246
19,GOOG250321C00170000,2024-03-20 19:49:18+00:00,170.0,12.04,10.15,13.85,0.0,0.0,2,2056,0.36212796081542964,False,REGULAR,USD,0.3055422562612967
20,GOOG250321C00175000,2024-03-20 18:35:15+00:00,175.0,10.25,8.3,12.25,0.0,0.0,3,56,0.3584964053344727,False,REGULAR,USD,0.30039348452208914
21,GOOG250321C00180000,2024-03-21 13:31:53+00:00,180.0,9.5,8.25,10.1,0.32999992,3.5986905,8,711,0.34241380249023434,False,REGULAR,USD,0.3034843445229863
22,GOOG250321C00185000,2024-03-20 14:21:56+00:00,185.0,7.65,6.85,7.85,0.0,0.0,3,51,0.320746538696289,False,REGULAR,USD,0.29039087973646605
23,GOOG250321C00190000,2024-03-20 18:24:56+00:00,190.0,6.85,6.15,7.3,0.0,0.0,7,18,0.3287115469360351,False,REGULAR,USD,0.2973862307954791
24,GOOG250321C00195000,2024-03-20 18:49:10+00:00,195.0,6.05,4.75,6.25,0.0,0.0,8,23,0.32474430145263666,False,REGULAR,USD,0.28997366449129114
25,GOOG250321C00200000,2024-03-21 14:55:07+00:00,200.0,4.96,4.9,5.05,-0.19000006,-3.6893215,11,79,0.3147041186523437,False,REGULAR,USD,0.2950106461848428
26,GOOG250321C00205000,2024-03-18 18:41:49+00:00,205.0,4.5,4.2,4.4,0.0,0.0,4,25,0.3144904977416991,False,REGULAR,USD,0.2948336629608645
27,GOOG250321C00210000,2024-03-21 13:43:15+00:00,210.0,4.1,2.91,4.5,0.39999986,10.810806,2,987,0.33127499786376957,False,REGULAR,USD,0.29451666117400915
